experiment,directory,scope,metric,mean,min,max
origin,origin_rosbag2_2025_10_22-01_35_46,global,pos_err,0.23501607996794827,0.1654526865951076,0.305123961391055
origin,origin_rosbag2_2025_10_22-01_35_46,global,ori_err,0.22605174319050073,0.15952862056970496,0.2841214457099341
origin,origin_rosbag2_2025_10_22-01_35_46,local,pos_err,0.0433532576673678,0.041615631106963084,0.04459320755780103
origin,origin_rosbag2_2025_10_22-01_35_46,local,ori_err,0.21081941875933233,0.20358978510172918,0.21506104533262352
origin,origin_rosbag2_2025_10_22-01_35_46,local,lin_vel_err,0.42950932257871166,0.4166715744073563,0.43910975494998306
origin,origin_rosbag2_2025_10_22-01_35_46,local,ang_vel_err,2.2021686769121027,2.0568967486725307,2.273323736094242
hist4,hist4_rosbag2_2025_10_22-07_00_11,global,pos_err,0.24958623207564132,0.21739445469795304,0.2744897644412275
hist4,hist4_rosbag2_2025_10_22-07_00_11,global,ori_err,0.23755491188306743,0.17237761104786015,0.2926502052871082
hist4,hist4_rosbag2_2025_10_22-07_00_11,local,pos_err,0.04872090198328518,0.04658731908453015,0.051446677279557866
hist4,hist4_rosbag2_2025_10_22-07_00_11,local,ori_err,0.24517656803678897,0.2359207611047112,0.2578392125849372
hist4,hist4_rosbag2_2025_10_22-07_00_11,local,lin_vel_err,0.5203572856687645,0.4969674786600484,0.5438587218735261
hist4,hist4_rosbag2_2025_10_22-07_00_11,local,ang_vel_err,2.6171532821972145,2.4711406849407105,2.7866798931587584
hist8,hist8_rosbag2_2025_10_22-07_03_51,global,pos_err,0.7741281373866103,0.41185129316210456,1.4975484005305653
hist8,hist8_rosbag2_2025_10_22-07_03_51,global,ori_err,1.7023357363469174,1.643710176106393,1.7452839811347676
hist8,hist8_rosbag2_2025_10_22-07_03_51,local,pos_err,0.05650615472690609,0.04568214114048221,0.07613916669875193
hist8,hist8_rosbag2_2025_10_22-07_03_51,local,ori_err,0.3004388343236181,0.24858662757796054,0.39923643081889126
hist8,hist8_rosbag2_2025_10_22-07_03_51,local,lin_vel_err,0.6406338189343449,0.5242803368981669,0.8575290434324142
hist8,hist8_rosbag2_2025_10_22-07_03_51,local,ang_vel_err,3.3266055313618055,2.6467445831002694,4.61680078788846
hist25,hist25_rosbag2_2025_10_22-07_06_58,global,pos_err,1.3128008418724295,1.1139045391766744,1.5226679555588354
hist25,hist25_rosbag2_2025_10_22-07_06_58,global,ori_err,1.2621196655038431,1.0403253922586069,1.5470237971131184
hist25,hist25_rosbag2_2025_10_22-07_06_58,local,pos_err,0.10533171159569749,0.10050601494831157,0.1098745837750862
hist25,hist25_rosbag2_2025_10_22-07_06_58,local,ori_err,0.5130037485900012,0.49930285873411134,0.5234375594771457
hist25,hist25_rosbag2_2025_10_22-07_06_58,local,lin_vel_err,0.9450097236014848,0.9257952552912798,0.9564038837969014
hist25,hist25_rosbag2_2025_10_22-07_06_58,local,ang_vel_err,4.867690950511796,4.677034902874757,5.061842410039898
